candidate_rank,evidence_rank,MMSI,VesselName,IMO,CallSign,VesselType,track_intersects_slick,track_distance_to_slick_km,closest_AIS_distance_km,closest_approach_time,hours_before_satellite,speed_at_closest_knots,course_at_closest_deg,points_inside_slick,first_inside_time,last_inside_time,hours_before_first_inside,hours_before_last_inside,median_speed_knots,max_speed_knots,ais_points,first_seen,last_seen,observation_hours,alignment_difference_deg,intersection_score,proximity_score,temporal_score,alignment_score,association_score,association_label
1,2,636017218,CHIQUITA EXPRESS,IMO9304758,D5FR8,70.0,True,0.0,0.0,2018-09-25 22:07:53+00:00,1.897929722222222,12.4,236.6,6,2018-09-25 22:07:53+00:00,2018-09-25 22:18:22+00:00,1.897929722222222,1.7232074999999998,11.9,12.4,201,2018-09-25 18:27:43+00:00,2018-09-26 00:01:22+00:00,5.560833333333333,35.735338810092315,35.0,30.0,21.04597974537037,6.0294067988786315,92.075386544249,Strong association
2,1,366987890,CAPT RUDY,IMO9337420,WDC2099,90.0,True,0.0,0.0,2018-09-25 22:16:52+00:00,1.7482075,12.2,251.5,2,2018-09-25 22:16:52+00:00,2018-09-25 22:19:13+00:00,1.7482075,1.7090408333333331,11.9,12.8,310,2018-09-25 12:03:32+00:00,2018-09-26 00:01:05+00:00,11.959166666666668,50.63533881009232,35.0,30.0,21.357901041666665,4.373851243323076,90.73175228498974,Strong association
3,3,367556640,CAPT DONALD LOWE SR,IMO9645607,WDG6405,31.0,True,0.0,0.0,2018-09-25 12:21:43+00:00,11.667374166666669,11.3,254.5,14,2018-09-25 12:21:43+00:00,2018-09-25 12:36:44+00:00,11.667374166666669,11.417096388888888,9.6,11.4,352,2018-09-25 12:02:12+00:00,2018-09-25 20:11:34+00:00,8.15611111111111,53.63533881009232,35.0,30.0,0.692970486111108,4.040517909989743,69.73348839610085,Moderate association
4,4,367019880,LA CHEVAL,IMO7826910,WSG4013,31.0,False,1.0589160902314292,1.0595312798384149,2018-09-25 19:30:52+00:00,4.514874166666667,6.6,63.8,0,,,,,6.9,7.8,354,2018-09-25 14:23:11+00:00,2018-09-26 00:01:31+00:00,9.63888888888889,42.93533881009233,0.0,26.823251729305714,13.942737114793694,5.22940679887863,45.99539564297804,Possible association
5,8,367425340,CAPT MASON,IMO7944530,WDF2141,30.0,False,1.6191137802482258,1.6290703526153474,2018-09-25 19:50:12+00:00,4.192651944444445,7.8,54.8,0,,,,,7.7,9.1,312,2018-09-25 12:03:01+00:00,2018-09-26 00:00:54+00:00,11.964722222222225,33.93533881009233,0.0,25.14265865925532,13.6317699440857,6.22940679887863,45.00383540221965,Possible association
6,11,367302430,THE SHOOTIST,IMO8036574,WDD8759,30.0,False,3.7681360208930217,3.7681360208930217,2018-09-26 00:00:18+00:00,0.0243186111111111,7.4,51.1,0,,,,,2.8,8.0,392,2018-09-25 12:02:26+00:00,2018-09-26 00:00:18+00:00,11.964444444444444,30.235338810092315,0.0,18.695591937320934,15.548086973474687,6.640517909989743,40.88419682078536,Possible association
7,9,367451430,DEBRA LEE,IMO8958708,WDF4397,30.0,False,2.949276175847826,4.216198497619613,2018-09-25 19:23:50+00:00,4.632096388888889,8.7,46.6,0,,,,,3.0,9.5,178,2018-09-25 12:08:50+00:00,2018-09-25 21:49:53+00:00,9.684166666666666,25.735338810092315,0.0,21.152171472456523,10.822719484357906,7.140517909989743,39.115408866804174,Possible association
8,7,366825310,C-TRUC 7,IMO8123509,WDA5890,90.0,False,1.5960871308170594,1.602424743974476,2018-09-25 17:08:01+00:00,6.895707499999999,12.0,246.5,0,,,,,11.6,13.6,337,2018-09-25 12:02:52+00:00,2018-09-25 20:14:21+00:00,8.19138888888889,45.63533881009232,0.0,25.211738607548824,8.936672797671662,4.929406798878631,39.07781820409912,Possible association
9,5,367318350,MISS LORAINE,IMO8941054,WDD9941,30.0,False,1.2151827372428063,1.3473094368058507,2018-09-25 13:44:29+00:00,10.287929722222222,7.5,235.4,0,,,,,3.1,8.5,263,2018-09-25 12:09:14+00:00,2018-09-26 00:00:47+00:00,11.859166666666669,34.53533881009233,0.0,26.354451788271582,3.1333801106824435,6.1627401322119635,35.65057203116599,Possible association
10,12,368674000,HEIDE MORAN,IMO7420390,WYN6273,31.0,False,3.7836357618231777,3.7836357618231777,2018-09-25 23:08:39+00:00,0.8851519444444444,8.0,278.0,0,,,,,7.8,8.2,129,2018-09-25 19:30:38+00:00,2018-09-26 00:01:29+00:00,4.514166666666667,77.13533881009232,0.0,18.649092714530468,14.394571659442656,1.4294067988786308,34.47307117285175,Possible association
11,6,366989120,MARY GRACE,IMO9320350,WDH7968,60.0,False,1.370185209336217,1.4118516735777635,2018-09-25 13:04:26+00:00,10.955429722222222,20.2,258.5,0,,,,,19.8,20.8,139,2018-09-25 12:01:56+00:00,2018-09-25 15:14:38+00:00,3.2116666666666664,57.63533881009232,0.0,25.88944437199135,1.878010006886342,3.5960734655452975,31.36352784442299,Possible association
12,13,367471780,PRINCESS KELLY,IMO8969965,WDF6207,30.0,False,3.869092017138016,3.8760691199943103,2018-09-25 14:33:24+00:00,9.472651944444443,8.0,216.4,0,,,,,7.8,9.5,286,2018-09-25 12:01:58+00:00,2018-09-25 23:39:42+00:00,11.62888888888889,15.535338810092327,0.0,18.392723948585953,3.228112160265891,8.273851243323074,29.89468735217492,Weak association
